Tip,Author,Last Sent,Category
Use the bayesglm() function of the arm package to perform a Bayesian logistic regression #rstats http://bit.ly/1cITKAZ,JBR,2014-03-10T00:00:00Z,NA
Use readLines() to read a text file line by line #rstats http://bit.ly/1feunH1,JBR,2014-03-11T00:00:00Z,NA
Build sliders and other interactive controls with the manipulate package in RStudio #rstats http://bit.ly/1iiCxlg,JBR,2014-03-12T00:00:00Z,NA
"Every row of a data frame has a unique label, which you can set or retrieve with row.names: http://bit.ly/woMnsV #rstats",David Smith,2014-03-13T00:00:00Z,function
Use the stringr package to make life easier when working with strings. #rstats http://bit.ly/OqMe7G,JBR,2014-03-17T00:00:00Z,NA
"Use the with() function to write R code using variables in a data frame, without needing the $ syntax: #rstats http://bit.ly/onqu7V",David Smith,2014-03-18T00:00:00Z,NA
Type ?Startup for a description of R's initialization process and how to configure it: http://bit.ly/pYrMeM #rstats,David Smith,2014-03-21T00:00:00Z,NA
List of large files for R analysis and data science #rstats http://bit.ly/1oH0si7,JBR,2014-03-24T00:00:00Z,NA
Consider the elastic net package for regularization / variable selection #rstats http://bit.ly/1h3bQyK,JBR,2014-03-25T00:00:00Z,NA
Google's style guide for writing maintainable R code: http://bit.ly/unTY2g #rstats,David Smith,2014-03-26T00:00:00Z,NA
Restructure and aggregate your data with the melt and cast functions of rshape2 #rstats http://had.co.nz/reshape/,JBR,2014-03-27T00:00:00Z,NA
Download and install the latest versions of your R packages with the updates.packages() function: http://bit.ly/nLuDqT #rstats,David Smith,2014-03-28T00:00:00Z,NA
2 short tutorials for the reshape2 package: http://bit.ly/1rKRWkC and http://bit.ly/1fsF1Lz #rstats,JBR,2014-03-31T00:00:00Z,NA
Deleting a function from a package will surprise your users. Deprecate it instead: http://bit.ly/100gwhr (via @TrestleJeff) #rstats,David Smith,2014-04-04T00:00:00Z,NA
Use package XLConnect to read and write Excel files #rstats http://bit.ly/1dYTDqR,David Smith,2014-04-07T00:00:00Z,deprecated
A collection of resources for working with GLMs in R #rstats http://bit.ly/1hEJC1f,JBR,2014-04-08T00:00:00Z,NA
Define your own binary operators http://bit.ly/QMrRnl #rstats,JBR,2014-04-10T00:00:00Z,NA
"Use findFn() from the sos package to get help on R topics, e.g. findFn(""glm"") http://bit.ly/1iCurm5 #rstats",Michael Helbraun,2014-04-14T00:00:00Z,NA
"Use the plyr package to easily sort a data frame by a column: arrange(df, desc(colname)) #rstats http://bit.ly/IyE1Wa",David Smith,2014-04-17T00:00:00Z,NA
"How to unshorten a bit.ly, t.co or other short URL with R: http://bit.ly/IfI9Zw #rstats",David Smith,2014-04-18T00:00:00Z,NA
The WDI package provides access to the World Bank's World Development Indicators http://bit.ly/PdIWVF #rstats,JBR,2014-04-21T00:00:00Z,NA
"Determine the class of every variable in a data frame: sapply(df,class) http://bit.ly/1hUTWmv #rstats",JBR,2014-04-22T00:00:00Z,NA
Annotate ggplot2 graphs by creating an annotation layer with annotate() #rstats http://bit.ly/1rtSpXd,JBR,2014-04-28T00:00:00Z,NA
"search() displays the ""search list"" of packages where R searches for functions and other objects #rstats http://bit.ly/nkzXJi",David Smith,2014-05-02T00:00:00Z,NA
The RODBC package provides access to SQL databases - Get started with the vignette http://bit.ly/PZosQF   #rstats,JBR,2014-05-05T00:00:00Z,NA
The RMySQL package is a database interface and MySQL driver for R http://bit.ly/1mnh6Wv #rstats,JBR,2014-05-06T00:00:00Z,NA
The sqldf package lets you do sql queries on an R dataframe http://bit.ly/Rdz6V0 #rstats,JBR,2014-05-07T00:00:00Z,NA
The RSQLite package embeds the SQLite DB engine in R - great way to get started with DBMs http://bit.ly/RdBfjx #rstats,JBR,2014-05-08T00:00:00Z,NA
"The rmongodb package - an interface to the open-source, NoSQL MongoDB database. Great vignettes http://bit.ly/1fXg5w9 #rstats",JBR,2014-05-09T00:00:00Z,NA
Do the bobyqa(minqa) for derivative free optimization http://bit.ly/1nq0M6Z #rstats,JBR,2014-05-12T00:00:00Z,NA
A tutorial on how the mboost package can help you use gradient boosting to fit a prediction model http://bit.ly/1uL1iyk #rstats,JBR,2014-05-14T00:00:00Z,NA
"If x is a matrix, vector or list then x[]<-0 replaces all its values by 0. More uses of the empty bracket in #rstats: http://bit.ly/14E9ulW",David Smith,2014-05-15T00:00:00Z,NA
"To speed an R function, use cmpfun to byte-compile it: http://bit.ly/t2OR0K #rstats",David Smith,2014-05-16T00:00:00Z,NA
The polypath function can be used to add a vector-based shape or symbol to a chart: http://bit.ly/t1bNrg #rstats,David Smith,2014-05-22T00:00:00Z,NA
Indexing into a list: myList[[m]][n] will yield the nth element of the mth item in list myList #rstats http://bit.ly/1pkampQ #rstats,JBR,2014-05-26T00:00:00Z,NA
"readHTMLTable(url,which=2) will read the 2nd table on the webpage specified by the url http://bit.ly/1jEUopG #rstats",JBR,2014-05-27T00:00:00Z,NA
Some nice R tutorials from Willian B. King http://bit.ly/1opEO26 #rstats,JBR,2014-05-29T00:00:00Z,NA
Run help file examples for a particular function using the 'example' function: example(plot) or example(lm) http://bit.ly/1hGXhlB #rstats,David Smith,2014-06-03T00:00:00Z,NA
"as.data.frame(installed.packages()[,c(1,3)],row.names=F) : list of installed packages with version http://bit.ly/RMvSYr #rstats",JBR,2014-06-04T00:00:00Z,NA
Nice short list of useful R functions from Alastair Sanderson http://bit.ly/1jBROMQ #rstats,JBR,2014-06-06T00:00:00Z,NA
Try glm2() {glm2} if your GLM model is having convergence problems https://www.rdocumentation.org/packages/glm2/versions/1.1.2/topics/glm2 #rstats,JBR,2014-06-09T00:00:00Z,NA
"""An Introduction to Statistical Learning"" : (James et.al) is full of R code and free to download http://bit.ly/1tPdef9 #rstats",JBR,2014-06-10T00:00:00Z,NA
"Reserved words that can't be used as object names: if, while, for, next, TRUE, and several others listed at http://bit.ly/n2rmBo #rstats",David Smith,2014-06-12T00:00:00Z,NA
sample(x) randomly shuffles the elements of a vector or list x #rstats http://bit.ly/x9UdLI,David Smith,2014-06-13T00:00:00Z,NA
Look here (http://bit.ly/n4V3sw) for a fairly comprehensive list of R #rstats resources.,JBR,2014-06-24T00:00:00Z,NA
"Type objects() at the console to see what variables, funcions and data sets you have defined http://bit.ly/1rd8cJF #rstats",JBR,2014-06-25T00:00:00Z,NA
#rstats a very nice discussion of R Environments from Hadley Wickham http://adv-r.had.co.nz/Environments.html,Joseph Rickert,2014-06-30T00:00:00Z,NA
Some tips on using R to talk to Twitter from Raffael Vogler http://bit.ly/1iNxJsW #rstats,Joseph Rickert,2014-07-01T00:00:00Z,NA
.Library will give you the path to your devault R library http://bit.ly/1oiwAr3 #rstats,Joseph Rickert,2014-07-08T00:00:00Z,NA
Get started with R's XML package with Duncan Temple Lang's introduction: http://bit.ly/1t6R7Ww  #rstats,Joseph Rickert,2014-07-09T00:00:00Z,NA
