status_id,created_at,text,favorite_count,retweet_count,score
1075435594761687040,2018-12-19T17:00:01Z,Tutorial: Run a parallel R simulation in an Azure cluster with the doAzureParallel package https://t.co/CXszLDsSBb #rstats,35,14,63
1075073204140630018,2018-12-18T17:00:00Z,"To select a column from a matrix and keep it as a column matrix, not a vector: X[,1,drop=FALSE] https://t.co/nDWQWA6QDd #rstats",56,19,94
1074710816476127232,2018-12-17T17:00:00Z,How to generate random numbers in R: https://t.co/lSjtG9nmPW #rstats,30,13,56
1073623652531363843,2018-12-14T17:00:00Z,The scan() function is useful for reading short sequences of data into a vector or list from the console or from a file https://t.co/NZr8ZLFosi #rstats,27,11,49
1073261264552517632,2018-12-13T17:00:00Z,Index of datasets included with R https://t.co/dWkX91R5tA #rstats,27,10,47
1072898882860793858,2018-12-12T17:00:01Z,"Introduction to AzureRMR, a package for managing Azure resources from R https://t.co/Uyop4Hy9xE #rstats",37,8,53
1072536488930406401,2018-12-11T17:00:00Z,"Use readr::parse_datetime to convert text representations of dates and times (e.g. ""4:30 PM"") to a POSIXct vector https://t.co/SHC2ebopl5 #rstats",48,11,70
1072174107209408513,2018-12-10T17:00:01Z,"The ""round"" function uses the ""round-to-even"" rule. round(3.5) and round(4.5) are both 4 https://t.co/yUQyBXfBY3 #rstats",50,15,80
1071086937363095557,2018-12-07T17:00:00Z,Find the smallest positive floating-point number x such 1 + x != 1 on your computer with the variable .Machine https://t.co/22zNlMOw8E #rstats,9,1,11
1070724549371682818,2018-12-06T17:00:00Z,"Free text: ""Practical Regression and ANOVA with R"": https://t.co/zGPJ4FNvCF #rstats",69,23,115
1070362166702702597,2018-12-05T17:00:01Z,RTVS is a free extension for Visual Studio for R programming and debugging https://t.co/2IPtgm0giE #rstats,16,3,22
1069999778182950913,2018-12-04T17:00:01Z,"If you want to create animated charts, check out this overview of the gganimate package with lots of examples https://t.co/GA58cjmGXj #rstats",135,40,215
1069637392498335744,2018-12-03T17:00:01Z,Guidance for use of #rstats in regulated clinical trial environments (incl. for FDA): https://t.co/KXQRExKwfH #rstats,24,10,44
1068550222077292544,2018-11-30T17:00:00Z,Use any() and all() to test if any or all of a vector of logical conditions are true https://t.co/F1NlBgmmy4 #rstats,33,12,57
1068187838666035202,2018-11-29T17:00:01Z,Look at under help(par) for options you can use to customize plot() https://t.co/BcvnzloZjW #rstats,20,4,28
1067825447927336960,2018-11-28T17:00:00Z,How to set up a data science client for R development on SQL Server: https://t.co/SNLCObhLVP #rstats,26,5,36
1067463064189001728,2018-11-27T17:00:01Z,A guide to making a reproducible data science environment with R and Docker https://t.co/BufaNg8XPy #rstats,52,17,86
1067100674658197505,2018-11-26T17:00:01Z,"Introduction to Rcpp, an R module for integrating C and C++ code: https://t.co/C01aPfta04 #rstats",31,5,41
1066013518934106112,2018-11-23T17:00:03Z,"Hands-On Programming with R, a book to teach programming in R by @StatGarrett, available in its entirety at https://t.co/0z0wlNybxe #rstats",228,102,432
